version,p,threads,ranks,rows,cols,iters,T_overall,T_computation,T_other
serial,1,1,1,5000,5000,13,4.165555,3.779802,0.385753
pthreads,1,1,1,5000,5000,13,3.900035,3.495110,0.404925
openmp,1,1,1,5000,5000,13,5.435958,5.060258,0.375700
mpi,1,1,1,5000,5000,13,3.378528,2.773997,0.604531
hybrid,1,1,1,5000,5000,13,3.617840,2.803114,0.814726
pthreads,2,2,1,5000,5000,13,2.143068,1.737481,0.405587
openmp,2,2,1,5000,5000,13,2.982660,2.615655,0.367005
mpi,2,1,2,5000,5000,13,2.056192,1.397695,0.658497
hybrid,2,2,1,5000,5000,13,3.613961,2.812578,0.801383
pthreads,4,4,1,5000,5000,13,1.408532,1.008772,0.399760
openmp,4,4,1,5000,5000,13,2.057423,1.425254,0.632169
mpi,4,1,4,5000,5000,13,1.327578,0.688267,0.639311
hybrid,4,2,2,5000,5000,13,2.231364,1.369459,0.861905
pthreads,8,8,1,5000,5000,13,1.193086,0.778356,0.414730
openmp,8,8,1,5000,5000,13,1.883341,1.447945,0.435396
mpi,8,1,8,5000,5000,13,1.211387,0.368748,0.842639
hybrid,8,4,2,5000,5000,13,2.198586,1.369535,0.829051
pthreads,16,16,1,5000,5000,13,0.776516,0.359450,0.417066
openmp,16,16,1,5000,5000,13,1.706248,1.329202,0.377046
mpi,16,1,16,5000,5000,13,0.820904,0.185765,0.635139
hybrid,16,4,4,5000,5000,13,1.185384,0.365428,0.819956
serial,1,1,1,10000,10000,13,16.662433,15.206875,1.455558
pthreads,1,1,1,10000,10000,13,15.922290,14.254596,1.667694
openmp,1,1,1,10000,10000,13,21.633876,20.303676,1.330200
mpi,1,1,1,10000,10000,13,14.341175,12.083113,2.258062
hybrid,1,1,1,10000,10000,13,14.538705,11.996593,2.542112
pthreads,2,2,1,10000,10000,13,9.644227,7.897079,1.747148
openmp,2,2,1,10000,10000,13,12.342034,10.909235,1.432799
mpi,2,1,2,10000,10000,13,8.214256,5.998796,2.215460
hybrid,2,2,1,10000,10000,13,14.047625,11.534116,2.513509
pthreads,4,4,1,10000,10000,13,12.857965,3.949163,8.908802
openmp,4,4,1,10000,10000,13,6.869747,5.565042,1.304705
mpi,4,1,4,10000,10000,13,5.185695,2.933996,2.251699
hybrid,4,2,2,10000,10000,13,8.605963,5.822220,2.783743
pthreads,8,8,1,10000,10000,13,4.796883,3.196658,1.600225
openmp,8,8,1,10000,10000,13,6.436737,5.047487,1.389250
mpi,8,1,8,10000,10000,13,3.746943,1.436174,2.310769
hybrid,8,4,2,10000,10000,13,8.201066,5.634649,2.566417
pthreads,16,16,1,10000,10000,13,4.072160,2.453456,1.618704
openmp,16,16,1,10000,10000,13,6.452266,5.134156,1.318110
mpi,16,1,16,10000,10000,13,3.339748,0.771055,2.568693
hybrid,16,4,4,10000,10000,13,3.972139,1.360210,2.611929
serial,1,1,1,20000,20000,13,66.275393,61.374704,4.900689
pthreads,1,1,1,20000,20000,13,75.496514,61.724711,13.771803
openmp,1,1,1,20000,20000,13,85.737182,80.755542,4.981640
mpi,1,1,1,20000,20000,13,56.706670,48.425242,8.281428
hybrid,1,1,1,20000,20000,13,57.566142,48.991485,8.574657
pthreads,2,2,1,20000,20000,13,38.776676,32.825409,5.951267
